Name,monthend_date,clean_yearmonth,date,open,high,low,close,volume,clean_date,ret
AAL,2015-01-31,2015-01,2015-01-30,52.02,52.13,48.63,49.08,18473105,2015-01-30,
NKE,2015-01-31,2015-01,2015-01-30,46.96,47.18,46.05,46.125,8106318,2015-01-30,
T,2015-01-31,2015-01,2015-01-30,32.77,33.43,32.72,32.92,56280900,2015-01-30,
VZ,2015-01-31,2015-01,2015-01-30,45.83,46.51,45.56,45.71,22768003,2015-01-30,
AAL,2015-02-28,2015-02,2015-02-27,49.0,49.4,47.85,47.9,9396398,2015-02-27,-0.024336115425841243
NKE,2015-02-28,2015-02,2015-02-27,48.475,48.7025,48.315,48.56,7118676,2015-02-27,0.05144504439055142
T,2015-02-28,2015-02,2015-02-27,34.42,34.58,34.38,34.56,19863613,2015-02-27,0.04861656812698589
VZ,2015-02-28,2015-02,2015-02-27,49.22,49.66,49.05,49.45,17571181,2015-02-27,0.07864496572506807
AAL,2015-03-31,2015-03,2015-03-31,53.66,53.73,52.68,52.78,8386414,2015-03-31,0.09701682665830846
NKE,2015-03-31,2015-03,2015-03-31,50.44,50.92,50.145,50.165,6309234,2015-03-31,0.032517425626333196
T,2015-03-31,2015-03,2015-03-31,32.97,33.03,32.65,32.65,27900236,2015-03-31,-0.05685208821341492
VZ,2015-03-31,2015-03,2015-03-31,49.09,49.1462,48.58,48.63,12785664,2015-03-31,-0.016721433653026807
AAL,2015-04-30,2015-04,2015-04-30,48.5,49.46,48.01,48.285,9400367,2015-04-30,-0.08901137765629663
NKE,2015-04-30,2015-04,2015-04-30,49.875,50.255,49.23,49.42,6496960,2015-04-30,-0.014962371817111908
T,2015-04-30,2015-04,2015-04-30,34.7,34.9,34.55,34.64,29693238,2015-04-30,0.059164227971794325
VZ,2015-04-30,2015-04,2015-04-30,50.47,50.65,50.23,50.44,15604897,2015-04-30,0.03654388668102415
AAL,2015-05-31,2015-05,2015-05-29,41.68,42.6,41.32,42.37,13236123,2015-05-29,-0.13068038878041355
NKE,2015-05-31,2015-05,2015-05-29,51.15,51.19,50.52,50.835,5562280,2015-05-29,0.028229893166660247
T,2015-05-31,2015-05,2015-05-29,34.75,34.82,34.54,34.54,29885075,2015-05-29,-0.002891010975702102
VZ,2015-05-31,2015-05,2015-05-29,49.5,49.64,49.3745,49.44,14778355,2015-05-29,-0.020024697947283343
AAL,2015-06-30,2015-06,2015-06-30,40.2,40.605,39.93,39.935,11184512,2015-06-30,-0.05918743226911527
NKE,2015-06-30,2015-06,2015-06-30,54.425,54.44,53.9,54.01,7531108,2015-06-30,0.060584120877675396
T,2015-06-30,2015-06,2015-06-30,36.03,36.15,35.46,35.52,31390076,2015-06-30,0.02797784540543713
VZ,2015-06-30,2015-06,2015-06-30,47.14,47.25,46.6,46.61,15044104,2015-06-30,-0.058944702764785806
AAL,2015-07-31,2015-07,2015-07-31,40.53,40.54,39.88,40.1,6955874,2015-07-31,0.004123201943170951
NKE,2015-07-31,2015-07,2015-07-31,57.75,57.97,57.415,57.61,5078650,2015-07-31,0.06452694913949175
T,2015-07-31,2015-07,2015-07-31,34.94,34.99,34.72,34.74,29880938,2015-07-31,-0.022204157311010775
VZ,2015-07-31,2015-07,2015-07-31,46.85,47.17,46.71,46.79,12562865,2015-07-31,0.003854394493475688
AAL,2015-08-31,2015-08,2015-08-31,38.63,39.76,38.62,38.98,12409620,2015-08-31,-0.028327640233108742
NKE,2015-08-31,2015-08,2015-08-31,56.195,56.245,55.615,55.875,7073574,2015-08-31,-0.03057911081055842
T,2015-08-31,2015-08,2015-08-31,33.2,33.28,33.01,33.2,22286485,2015-08-31,-0.045341884890515605
VZ,2015-08-31,2015-08,2015-08-31,45.95,46.1,45.61,46.01,14785808,2015-08-31,-0.01681074071074784
AAL,2015-09-30,2015-09,2015-09-30,39.18,39.68,37.72,38.83,15823720,2015-09-30,-0.003855550335838842
NKE,2015-09-30,2015-09,2015-09-30,60.37,61.56,60.37,61.485,9437808,2015-09-30,0.09567618969067748
T,2015-09-30,2015-09,2015-09-30,32.36,32.71,32.24,32.58,34815542,2015-09-30,-0.018851272748543924
VZ,2015-09-30,2015-09,2015-09-30,43.83,44.0,43.2845,43.51,20380634,2015-09-30,-0.05586796743478839
AAL,2015-10-31,2015-10,2015-10-30,45.77,46.77,45.71,46.22,8589743,2015-10-30,0.17421946110265862
NKE,2015-10-31,2015-10,2015-10-30,65.775,65.8092,65.035,65.515,7230828,2015-10-30,0.06348588143213796
T,2015-10-31,2015-10,2015-10-30,33.62,33.75,33.51,33.51,24581781,2015-10-30,0.028145298575319888
VZ,2015-10-31,2015-10,2015-10-30,46.43,46.98,46.28,46.88,14753237,2015-10-30,0.07460034853616859
AAL,2015-11-30,2015-11,2015-11-30,41.75,41.99,40.98,41.26,6450862,2015-11-30,-0.1135190972031288
NKE,2015-11-30,2015-11,2015-11-30,66.965,67.095,65.82,66.14,8738868,2015-11-30,0.009494583497097864
T,2015-11-30,2015-11,2015-11-30,33.59,33.75,33.42,33.67,24902331,2015-11-30,0.004763331423764061
VZ,2015-11-30,2015-11,2015-11-30,45.25,45.64,44.96,45.45,19399956,2015-11-30,-0.030978324645269506
AAL,2015-12-31,2015-12,2015-12-31,42.54,42.57,41.83,42.35,6813757,2015-12-31,0.026074913454957827
NKE,2015-12-31,2015-12,2015-12-31,63.15,63.17,62.5,62.5,6454656,2015-12-31,-0.0566071508112902
T,2015-12-31,2015-12,2015-12-31,34.56,34.66,34.39,34.41,20261791,2015-12-31,0.02173998663640564
VZ,2015-12-31,2015-12,2015-12-31,46.52,46.65,46.205,46.22,11490922,2015-12-31,0.016799784222746528
AAL,2016-01-31,2016-01,2016-01-29,37.52,39.085,36.5982,38.99,20957476,2016-01-29,-0.08266321810355759
NKE,2016-01-31,2016-01,2016-01-29,61.2,62.16,61.2,62.01,10475161,2016-01-29,-0.007870894380569204
T,2016-01-31,2016-01,2016-01-29,35.71,36.06,35.68,36.06,43280510,2016-01-29,0.046836997965782334
VZ,2016-01-31,2016-01,2016-01-29,49.39,49.99,49.22,49.97,29082619,2016-01-29,0.07801022050987916
AAL,2016-02-29,2016-02,2016-02-29,40.77,41.34,40.5,41.0,5791341,2016-02-29,0.050266863709802045
NKE,2016-02-29,2016-02,2016-02-29,62.46,62.68,61.58,61.59,7720619,2016-02-29,-0.006796142662834903
T,2016-02-29,2016-02,2016-02-29,37.12,37.39,36.95,36.95,29197457,2016-02-29,0.024381429619039885
VZ,2016-02-29,2016-02,2016-02-29,50.86,51.38,50.685,50.73,15986299,2016-02-29,0.01509462622248492
AAL,2016-03-31,2016-03,2016-03-31,41.5,41.68,40.98,41.01,8138009,2016-03-31,0.0002438726996598639
NKE,2016-03-31,2016-03,2016-03-31,61.99,62.64,61.31,61.47,8257807,2016-03-31,-0.0019502687800336815
T,2016-03-31,2016-03,2016-03-31,39.42,39.57,39.01,39.17,27101194,2016-03-31,0.05834550028352892
VZ,2016-03-31,2016-03,2016-03-31,54.01,54.26,53.92,54.08,12428588,2016-03-31,0.06394698015611011
AAL,2016-04-30,2016-04,2016-04-29,35.81,35.83,34.1,34.69,17807211,2016-04-29,-0.1673644784223094
NKE,2016-04-30,2016-04,2016-04-29,58.41,59.087,58.1,58.94,8178658,2016-04-29,-0.042029273609370144
T,2016-04-30,2016-04,2016-04-29,38.64,38.88,38.48,38.82,25345903,2016-04-29,-0.008975569936875871
VZ,2016-04-30,2016-04,2016-04-29,50.95,51.05,50.64,50.94,13684782,2016-04-29,-0.0598159621833978
AAL,2016-05-31,2016-05,2016-05-31,31.75,31.97,31.33,31.91,9618738,2016-05-31,-0.08353202069150623
NKE,2016-05-31,2016-05,2016-05-31,56.41,56.47,55.17,55.22,14233551,2016-05-31,-0.06519477080753955
T,2016-05-31,2016-05,2016-05-31,39.03,39.2,38.94,39.15,27940040,2016-05-31,0.008464844695947882
VZ,2016-05-31,2016-05,2016-05-31,50.88,51.16,50.59,50.9,15834450,2016-05-31,-0.000785545994833825
AAL,2016-06-30,2016-06,2016-06-30,27.86,28.31,27.49,28.31,11148266,2016-06-30,-0.1197043411663441
NKE,2016-06-30,2016-06,2016-06-30,55.29,55.43,54.6,55.2,17350521,2016-06-30,-0.0003622532189586636
T,2016-06-30,2016-06,2016-06-30,42.69,43.42,42.54,43.21,31913433,2016-06-30,0.09867152750703001
VZ,2016-06-30,2016-06,2016-06-30,55.27,55.92,54.79,55.84,22143337,2016-06-30,0.09262753489763975
AAL,2016-07-31,2016-07,2016-07-29,36.26,36.739,35.5,35.5,9138561,2016-07-29,0.22631759735756196
NKE,2016-07-31,2016-07,2016-07-29,55.27,55.66,55.208,55.5,6353444,2016-07-29,0.005420067469338541
T,2016-07-31,2016-07,2016-07-29,42.62,43.39,42.46,43.29,25245687,2016-07-29,0.0018497115100473138
VZ,2016-07-31,2016-07,2016-07-29,54.99,55.72,54.97,55.41,15508926,2016-07-29,-0.007730375574858783
AAL,2016-08-31,2016-08,2016-08-31,36.97,36.98,35.63,36.3,13111735,2016-08-31,0.022285044789434938
NKE,2016-08-31,2016-08,2016-08-31,57.86,58.28,57.185,57.65,7723638,2016-08-31,0.038007225962679136
T,2016-08-31,2016-08,2016-08-31,40.95,41.05,40.66,40.88,18740526,2016-08-31,-0.057280715558440054
VZ,2016-08-31,2016-08,2016-08-31,52.22,52.46,52.08,52.33,10390472,2016-08-31,-0.057190262495141475
AAL,2016-09-30,2016-09,2016-09-30,35.98,36.99,35.8601,36.61,7429336,2016-09-30,0.008503685861339871
NKE,2016-09-30,2016-09,2016-09-30,52.57,53.06,52.28,52.65,12940220,2016-09-30,-0.09072400813508308
T,2016-09-30,2016-09,2016-09-30,40.91,41.04,40.6,40.61,19381624,2016-09-30,-0.0066266041972427026
VZ,2016-09-30,2016-09,2016-09-30,52.43,52.57,51.96,51.98,13077552,2016-09-30,-0.0067107911707724455
AAL,2016-10-31,2016-10,2016-10-31,40.31,40.81,40.08,40.6,5961076,2016-10-31,0.10344663947554222
NKE,2016-10-31,2016-10,2016-10-31,50.88,51.15,50.0,50.18,17931262,2016-10-31,-0.04804969764170819
T,2016-10-31,2016-10,2016-10-31,36.61,36.82,36.52,36.79,31383700,2016-10-31,-0.09878827258152345
VZ,2016-10-31,2016-10,2016-10-31,48.24,48.3,48.05,48.1,12459394,2016-10-31,-0.07757685210162846
AAL,2016-11-30,2016-11,2016-11-30,46.14,46.86,45.42,46.44,7904220,2016-11-30,0.1343930902220034
NKE,2016-11-30,2016-11,2016-11-30,50.52,50.81,50.07,50.07,8198418,2016-11-30,-0.0021945145964230584
T,2016-11-30,2016-11,2016-11-30,39.21,39.21,38.62,38.63,32679291,2016-11-30,0.04880310756150674
VZ,2016-11-30,2016-11,2016-11-30,50.55,50.73,49.9,49.9,20698891,2016-11-30,0.036738825645757256
AAL,2016-12-31,2016-12,2016-12-30,47.42,47.66,46.47,46.69,4495016,2016-12-30,0.005368852153154968
NKE,2016-12-31,2016-12,2016-12-30,51.1,51.33,50.7,50.83,7384258,2016-12-30,0.0150647051169579
T,2016-12-31,2016-12,2016-12-30,42.76,42.83,42.45,42.53,16674019,2016-12-30,0.09618053258735237
VZ,2016-12-31,2016-12,2016-12-30,53.55,53.64,53.17,53.38,12440847,2016-12-30,0.06741514121890546
AAL,2017-01-31,2017-01,2017-01-31,44.79,44.84,43.742,44.25,11719842,2017-01-31,-0.053674637528907
NKE,2017-01-31,2017-01,2017-01-31,51.68,52.9,51.63,52.9,12342873,2017-01-31,0.03991660740544223
T,2017-01-31,2017-01,2017-01-31,41.68,42.19,41.58,42.16,25405353,2017-01-31,-0.008737805032435375
VZ,2017-01-31,2017-01,2017-01-31,49.21,49.47,48.93,49.01,16844160,2017-01-31,-0.08541178505492208
AAL,2017-02-28,2017-02,2017-02-28,46.32,46.7199,46.03,46.36,4935590,2017-02-28,0.04658164701761258
NKE,2017-02-28,2017-02,2017-02-28,57.37,57.55,56.855,57.16,7951315,2017-02-28,0.07745101419741296
T,2017-02-28,2017-02,2017-02-28,41.73,41.87,41.64,41.79,19338619,2017-02-28,-0.008814827773282907
VZ,2017-02-28,2017-02,2017-02-28,49.96,50.03,49.41,49.63,17699168,2017-02-28,0.012571130677893283
AAL,2017-03-31,2017-03,2017-03-31,42.37,42.94,42.2745,42.3,5427748,2017-03-31,-0.09164993241931896
NKE,2017-03-31,2017-03,2017-03-31,56.0,56.03,55.645,55.73,5905639,2017-03-31,-0.02533575148022127
T,2017-03-31,2017-03,2017-03-31,41.79,41.89,41.55,41.55,17533497,2017-03-31,-0.00575955515836668
VZ,2017-03-31,2017-03,2017-03-31,49.1,49.1,48.75,48.75,19299124,2017-03-31,-0.017890292155493537
AAL,2017-04-30,2017-04,2017-04-28,44.02,44.06,42.56,42.62,13357971,2017-04-28,0.0075365406182390515
NKE,2017-04-30,2017-04,2017-04-28,55.43,55.53,55.14,55.41,6437731,2017-04-28,-0.005758518702187132
T,2017-04-30,2017-04,2017-04-28,39.88,40.06,39.52,39.63,24994983,2017-04-28,-0.04731111409911337
VZ,2017-04-30,2017-04,2017-04-28,46.64,46.64,45.89,45.91,25922757,2017-04-28,-0.0600222391827252
AAL,2017-05-31,2017-05,2017-05-31,48.2,48.48,47.53,48.41,4486131,2017-05-31,0.1273827772811318
NKE,2017-05-31,2017-05,2017-05-31,53.02,53.2799,52.71,52.99,8938801,2017-05-31,-0.044656866374587434
T,2017-05-31,2017-05,2017-05-31,38.65,38.87,38.51,38.53,24040423,2017-05-31,-0.028149248564277585
VZ,2017-05-31,2017-05,2017-05-31,46.43,46.945,46.255,46.64,22811121,2017-05-31,0.015775583781106217
AAL,2017-06-30,2017-06,2017-06-30,49.92,50.51,49.6,50.32,6618701,2017-06-30,0.03869620844058197
NKE,2017-06-30,2017-06,2017-06-30,56.6,59.71,56.5,59.0,46552954,2017-06-30,0.10743422740104913
T,2017-06-30,2017-06,2017-06-30,37.73,37.87,37.54,37.73,22540739,2017-06-30,-0.020981624661847054
VZ,2017-06-30,2017-06,2017-06-30,44.62,44.75,44.36,44.66,13368940,2017-06-30,-0.04338029563022516
AAL,2017-07-31,2017-07,2017-07-31,50.85,51.23,50.035,50.44,6062854,2017-07-31,0.002381898704533647
NKE,2017-07-31,2017-07,2017-07-31,58.71,59.12,58.33,59.05,6225907,2017-07-31,0.0008470987376512085
T,2017-07-31,2017-07,2017-07-31,38.97,39.13,38.715,39.0,28481301,2017-07-31,0.03310611215342707
VZ,2017-07-31,2017-07,2017-07-31,47.85,48.57,47.48,48.4,28456827,2017-07-31,0.08042156731057393
AAL,2017-08-31,2017-08,2017-08-31,44.54,44.94,44.43,44.74,3799621,2017-08-31,-0.11991655503473497
NKE,2017-08-31,2017-08,2017-08-31,52.6,52.98,52.47,52.81,7728916,2017-08-31,-0.11168397592452894
T,2017-08-31,2017-08,2017-08-31,37.74,37.87,37.45,37.46,20738519,2017-08-31,-0.040287949113703814
VZ,2017-08-31,2017-08,2017-08-31,48.26,48.399,47.93,47.97,14237666,2017-08-31,-0.008923998208613337
AAL,2017-09-30,2017-09,2017-09-29,47.49,47.85,47.23,47.49,4904347,2017-09-29,0.05965120649904687
NKE,2017-09-30,2017-09,2017-09-29,52.59,52.82,51.76,51.85,12189882,2017-09-29,-0.01834563204330575
T,2017-09-30,2017-09,2017-09-29,38.95,39.22,38.81,39.17,21961431,2017-09-29,0.04463745066179747
VZ,2017-09-30,2017-09,2017-09-29,49.3,49.83,49.01,49.49,13021697,2017-09-29,0.031194813449822334
AAL,2017-10-31,2017-10,2017-10-31,47.22,47.6,46.79,46.82,4596604,2017-10-31,-0.014208700498265614
NKE,2017-10-31,2017-10,2017-10-31,54.75,55.28,54.52,54.99,9794845,2017-10-31,0.05879641584418671
T,2017-10-31,2017-10,2017-10-31,33.64,33.84,33.43,33.65,36376366,2017-10-31,-0.1518980915870034
VZ,2017-10-31,2017-10,2017-10-31,47.94,48.18,47.71,47.87,15909969,2017-10-31,-0.033281625559377304
AAL,2017-11-30,2017-11,2017-11-30,49.76,51.1116,49.3,50.49,6016175,2017-11-30,0.07546483480805932
NKE,2017-11-30,2017-11,2017-11-30,60.26,61.21,60.2,60.42,12551210,2017-11-30,0.09416882543880334
T,2017-11-30,2017-11,2017-11-30,36.5,36.9,36.025,36.38,49831258,2017-11-30,0.07800611699923987
VZ,2017-11-30,2017-11,2017-11-30,50.0,51.0944,49.99,50.89,33268492,2017-11-30,0.06117743719632385
AAL,2017-12-31,2017-12,2017-12-29,52.42,52.82,52.01,52.03,2697096,2017-12-29,0.03004517843138821
NKE,2017-12-31,2017-12,2017-12-29,63.21,63.37,62.55,62.55,5222115,2017-12-29,0.03464606095439393
T,2017-12-31,2017-12,2017-12-29,39.22,39.32,38.88,38.88,26479899,2017-12-29,0.06646080650226205
VZ,2017-12-31,2017-12,2017-12-29,53.37,53.46,52.93,52.93,9994742,2017-12-29,0.03930384526915498
